City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Kavaratti,IN,2020-10-30 12:08:46,10.57,72.64,83.46,68,37,8.68
113,Taoudenni,ML,2020-10-30 12:10:43,22.68,-3.98,90.41,12,85,11.3
114,Santiago Del Estero,AR,2020-10-30 12:10:44,-27.8,-64.26,61.32,36,97,7.11
115,Guerrero Negro,MX,2020-10-30 12:10:45,27.98,-114.06,60.08,78,1,1.52
116,Port Blair,IN,2020-10-30 12:09:45,11.67,92.75,80.94,81,90,9.55
117,Saint-Augustin,CA,2020-10-30 12:10:46,51.23,-58.65,27.48,84,0,19.13
118,Kaitangata,NZ,2020-10-30 12:10:47,-46.28,169.85,57.99,94,100,1.99
119,Santa Cruz,BO,2020-10-30 12:10:47,-17.8,-63.17,71.6,46,75,18.34
120,Lebu,CL,2020-10-30 12:10:48,-37.62,-73.65,54.63,71,32,12.08
121,Kapaa,US,2020-10-30 12:10:49,22.08,-159.32,66.2,88,1,8.05
122,Ilulissat,GL,2020-10-30 12:10:50,69.22,-51.1,15.8,66,40,1.12
123,Yellowknife,CA,2020-10-30 12:09:03,62.46,-114.35,15.01,96,100,1.01
124,Bambous Virieux,MU,2020-10-30 12:10:51,-20.34,57.76,75.0,48,9,11.99
125,Bay Roberts,CA,2020-10-30 12:10:52,47.6,-53.26,34.0,80,96,5.99
126,New Norfolk,AU,2020-10-30 12:10:53,-42.78,147.06,46.99,70,60,0.47
127,Alofi,NU,2020-10-30 12:10:53,-19.06,-169.92,73.4,78,53,12.75
128,Inhambane,MZ,2020-10-30 12:10:54,-23.86,35.38,86.0,62,20,10.29
129,Kyren,RU,2020-10-30 12:10:55,51.68,102.14,24.13,89,71,2.06
130,Naze,JP,2020-10-30 12:06:44,28.37,129.48,73.4,56,20,18.34
131,Lorengau,PG,2020-10-30 12:10:57,-2.02,147.27,81.41,75,86,4.38
132,Cubuk,TR,2020-10-30 12:10:57,40.24,33.03,53.6,93,75,5.82
133,Bridlington,GB,2020-10-30 12:07:22,54.08,-0.19,57.99,86,96,1.99
134,Ngaoundere,CM,2020-10-30 12:11:00,7.32,13.58,84.2,37,0,8.7
135,General Pico,AR,2020-10-30 12:11:01,-35.66,-63.76,55.99,49,0,7.65
136,Port Alfred,ZA,2020-10-30 12:08:58,-33.59,26.89,63.7,54,98,12.24
137,Half Moon Bay,US,2020-10-30 12:11:03,37.46,-122.43,53.6,93,90,8.05
138,Kupino,RU,2020-10-30 12:08:39,54.37,77.3,35.01,94,100,9.66
139,Atasu,KZ,2020-10-30 12:11:05,48.68,71.64,40.69,60,0,4.83
140,Esperance,AU,2020-10-30 12:09:10,-33.87,121.9,73.4,25,85,8.05
141,Nukus,UZ,2020-10-30 12:11:07,42.45,59.61,60.8,19,0,13.87
142,Diego De Almagro,CL,2020-10-30 12:11:07,-26.37,-70.05,66.67,26,0,0.98
143,Jamestown,US,2020-10-30 12:10:18,42.1,-79.24,37.99,100,90,8.05
144,Ostrovnoy,RU,2020-10-30 12:08:36,68.05,39.51,31.77,95,89,18.66
145,Fort Nelson,CA,2020-10-30 12:11:10,58.81,-122.7,23.61,97,100,8.52
146,Kloulklubed,PW,2020-10-30 12:11:11,7.04,134.26,78.8,88,75,3.36
147,Clyde River,CA,2020-10-30 12:08:59,70.47,-68.59,18.48,94,100,6.06
148,Noumea,NC,2020-10-30 12:09:09,-22.28,166.46,77.0,61,0,8.05
149,Sabha,LY,2020-10-30 12:11:13,27.04,14.43,76.28,32,0,8.63
150,Saint George,US,2020-10-30 12:11:13,37.1,-113.58,48.2,29,1,3.09
151,Hilo,US,2020-10-30 12:09:09,19.73,-155.09,75.2,88,40,3.36
152,Tigil,RU,2020-10-30 12:11:15,57.8,158.67,33.13,97,99,3.58
153,Provideniya,RU,2020-10-30 12:11:16,64.38,-173.3,24.04,88,24,5.84
154,Camana,PE,2020-10-30 12:11:17,-16.62,-72.71,65.35,68,33,7.38
155,Kapoeta,SS,2020-10-30 12:11:17,4.77,33.59,89.64,37,98,14.97
156,Hithadhoo,MV,2020-10-30 12:11:18,-0.6,73.08,83.41,76,70,12.01
157,Anloga,GH,2020-10-30 12:11:19,5.79,0.9,87.8,66,40,6.93
158,Touros,BR,2020-10-30 12:11:20,-5.2,-35.46,77.0,88,75,3.36
159,Khatanga,RU,2020-10-30 12:08:35,71.97,102.5,-7.6,84,0,7.05
160,Mount Isa,AU,2020-10-30 12:09:10,-20.73,139.5,82.4,13,0,17.22
161,Zhezkazgan,KZ,2020-10-30 12:11:22,47.8,67.71,45.39,48,0,2.19
162,Tilichiki,RU,2020-10-30 12:08:37,60.47,166.1,29.35,100,62,3.44
163,Cap Malheureux,MU,2020-10-30 12:11:23,-19.98,57.61,75.0,48,0,11.99
164,Jiazi,CN,2020-10-30 12:11:24,22.88,116.07,71.04,77,17,18.54
165,Beira,MZ,2020-10-30 12:11:25,-19.84,34.84,84.29,61,0,14.07
166,Urucara,BR,2020-10-30 12:11:26,-2.54,-57.76,82.18,82,100,3.09
167,Coreau,BR,2020-10-30 12:11:27,-3.53,-40.66,87.17,47,84,6.08
168,Flin Flon,CA,2020-10-30 12:11:27,54.77,-101.86,15.49,97,18,2.28
169,Ano Mera,GR,2020-10-30 12:11:28,37.45,25.4,73.4,43,40,5.82
170,Seoni,IN,2020-10-30 12:11:29,22.08,79.53,71.94,57,42,7.11
171,Wamba,NG,2020-10-30 12:11:32,8.93,8.6,91.65,36,59,5.44
172,Airai,TL,2020-10-30 12:11:33,-8.93,125.41,63.57,100,88,1.5
173,Tyulgan,RU,2020-10-30 12:11:34,52.34,56.17,41.25,65,97,8.72
174,Pemangkat,ID,2020-10-30 12:07:50,1.17,108.97,81.01,82,98,11.63
175,Monrovia,LR,2020-10-30 12:11:35,6.3,-10.8,87.8,66,75,4.7
176,Evensk,RU,2020-10-30 12:11:37,61.95,159.23,24.01,97,100,5.41
177,Chara,RU,2020-10-30 12:08:39,56.91,118.26,14.11,83,39,1.5
178,Alta Floresta,BR,2020-10-30 12:11:39,-9.88,-56.09,73.96,94,100,3.62
179,Fortuna,US,2020-10-30 12:11:40,40.6,-124.16,46.4,81,1,11.41
180,Prieska,ZA,2020-10-30 12:11:41,-29.66,22.75,83.89,23,2,4.34
181,Churapcha,RU,2020-10-30 12:08:36,62.0,132.43,-9.09,90,16,2.91
182,Coahuayana,MX,2020-10-30 12:11:42,18.73,-103.68,77.59,81,91,2.06
183,Tahta,EG,2020-10-30 12:11:43,26.77,31.5,87.8,38,0,10.29
184,Ishigaki,JP,2020-10-30 12:07:44,24.34,124.16,73.4,69,40,16.11
185,Wuwei,CN,2020-10-30 12:08:51,37.93,102.64,42.91,56,68,3.0
186,Ginir,ET,2020-10-30 12:16:31,7.13,40.7,69.17,64,57,8.25
187,Jalor,IN,2020-10-30 12:16:31,25.35,72.62,85.91,20,0,4.09
188,Tura,IN,2020-10-30 12:16:32,25.52,90.22,73.71,85,32,3.47
189,Geraldton,AU,2020-10-30 12:12:27,-28.77,114.6,71.6,73,0,4.7
190,Iskateley,RU,2020-10-30 12:16:33,67.68,53.15,40.14,88,98,18.81
191,Dafeng,CN,2020-10-30 12:16:34,23.45,108.59,65.66,82,94,2.44
192,La Peca,PE,2020-10-30 12:16:35,-5.61,-78.44,71.78,68,100,0.83
